"Date","Site.Name","COUNTY","meanlat","meanlong","month","year","PM2.5","Ozone"
"2018-04-29","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,4,2018,25,NA
"2018-04-30","West Johnston Co.","Johnston",35.59095,-78.4622,4,2018,NA,51
"2018-05-01","Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,NA,64
"2018-05-01","Hattie Avenue","Forsyth",36.110693332,-80.2264378,5,2018,43,NA
"2018-05-01","Linville Falls","Avery",35.972347,-81.933072,5,2018,NA,80
"2018-05-01","Mendenhall School","Guilford",36.1090060008986,-79.802314,5,2018,NA,80
"2018-05-02","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,5,2018,40,NA
"2018-05-02","West Johnston Co.","Johnston",35.59095,-78.4622,5,2018,47,NA
"2018-05-03","Hattie Avenue","Forsyth",36.110693332,-80.2264378,5,2018,NA,74
"2018-05-03","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,5,2018,28,NA
"2018-05-04","Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,39,NA
"2018-05-04","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,5,2018,NA,47
"2018-05-04","Mendenhall School","Guilford",36.1090060008986,-79.802314,5,2018,43,NA
"2018-05-04","Millbrook School","Wake",35.856111,-78.574167,5,2018,40,NA
"2018-05-05","Castle Hayne","New Hanover",34.364167,-77.838611,5,2018,8,NA
"2018-05-07","Bryson City","Swain",35.434767,-83.442133,5,2018,33,NA
"2018-05-08","Castle Hayne","New Hanover",34.364167,-77.838611,5,2018,NA,35
"2018-05-08","Clemmons Middle","Forsyth",36.026,-80.342,5,2018,NA,71
"2018-05-08","Frying Pan Mountain","Haywood",35.379167,-82.7925,5,2018,14,NA
"2018-05-08","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,5,2018,31,NA
"2018-05-09","Bryson City","Swain",35.434767,-83.442133,5,2018,NA,47
"2018-05-09","Frying Pan Mountain","Haywood",35.379167,-82.7925,5,2018,NA,80
"2018-05-09","Leggett","Edgecombe",35.988278,-77.5843,5,2018,NA,25
"2018-05-09","Millbrook School","Wake",35.856111,-78.574167,5,2018,NA,58
"2018-05-10","Leggett","Edgecombe",35.988278,-77.5843,5,2018,38,NA
"2018-05-10","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,5,2018,NA,64
"2018-05-11","Clemmons Middle","Forsyth",36.026,-80.342,5,2018,52,NA
"2018-05-11","Linville Falls","Avery",35.972347,-81.933072,5,2018,35,NA
"2018-05-11","Millbrook School","Wake",35.856111,-78.574167,5,2018,55,NA
"2018-05-13","West Johnston Co.","Johnston",35.59095,-78.4622,5,2018,NA,58
"2018-05-14","Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,53,NA
"2018-05-14","Hattie Avenue","Forsyth",36.110693332,-80.2264378,5,2018,62,NA
